Index,class
11587,1
54248,1
36922,0
33414,1
52264,1
57539,1
41348,1
13281,1
6565,0
46008,1
13512,0
54103,1
27333,1
5424,1
54083,1
24169,0
36106,1
7738,1
18298,0
16765,0
19143,1
4685,1
57854,1
17169,1
45297,1
46073,1
6018,1
42397,0
53375,1
22657,1
5290,1
22935,1
20490,1
30565,1
4280,1
26304,1
44552,1
29693,0
46504,1
12765,1
32378,1
35077,1
41810,1
3290,1
57829,0
32062,1
29299,1
49365,1
25984,0
25045,1
13597,0
46686,1
36366,0
44991,0
29542,1
25720,1
29515,0
6389,1
55592,1
7680,1
57009,1
14864,1
13634,1
43975,1
44577,1
34619,1
53925,1
5486,1
13733,0
14810,0
53119,1
51030,1
48523,1
45592,1
8689,1
50099,1
332,1
27173,1
1533,1
35356,1
9667,0
46786,1
41290,1
27829,0
19932,1
13222,0
21941,0
4269,0
6919,0
8951,1
28022,1
267,1
41630,1
43267,1
7782,0
22499,0
32512,1
2419,1
58104,1
45588,0
54051,1
15873,1
23367,1
20162,1
44457,1
1579,1
12657,1
19525,0
39765,1
17759,1
13370,1
39800,1
30143,1
1724,1
15901,0
21029,1
21455,0
205,1
58134,0
6273,1
16976,1
31435,1
57851,0
27761,1
959,1
33772,1
19210,1
3299,1
46968,0
34740,0
16583,1
10484,1
18520,1
34519,1
16699,0
23086,0
32621,1
31464,1
43912,1
8912,0
30377,1
16391,1
33282,1
28260,0
12490,1
30874,1
5111,0
41015,0
19662,1
46493,1
30620,0
1845,1
29143,1
13738,0
33523,1
51538,1
14787,1
50029,1
21155,1
4415,0
37546,1
50890,0
8045,1
39199,1
48112,1
33923,1
1970,0
36432,1
18061,0
27397,1
48845,1
47589,0
54895,1
18022,0
28411,1
57074,1
49112,0
12396,1
2710,0
20055,1
21190,0
32140,1
26092,0
56872,1
4468,1
11366,1
56964,1
35817,1
8922,0
40317,0
26188,1
24778,1
30239,1
41545,1
37585,1
43560,1
26968,0
27949,1
54216,1
32139,1
21723,1
15207,1
5333,1
44404,1
9758,0
10140,1
45707,0
42267,1
27139,1
14579,1
9790,1
32616,1
20335,1
44612,1
12761,0
10184,0
36335,0
39302,0
36655,1
4810,1
9056,1
3416,1
30946,1
9133,1
54166,1
11058,1
41139,1
18842,0
40892,0
27616,0
38206,1
8294,1
57352,1
11217,1
57722,0
21209,1
26743,1
49859,1
4640,1
6419,1
24389,0
32900,1
30626,1
49168,1
1561,1
29027,0
31733,1
28695,0
17963,1
21184,1
54497,1
8342,1
25181,1
51922,1
56373,1
52031,1
57977,1
24148,1
45974,1
12601,1
40344,1
57107,1
19299,0
24138,1
18246,1
54960,1
35639,1
16428,1
25255,0
18233,1
33483,1
45128,1
21453,0
8869,1
29933,1
32516,1
30756,1
28670,1
37622,1
40584,1
53339,1
21395,0
27647,0
26529,1
31687,0
2017,0
42741,1
38978,0
12226,1
15968,0
40135,1
47127,1
24044,0
37124,1
8736,1
12449,1
48946,1
8327,1
21457,1
33795,1
57997,1
26909,1
14082,0
1276,0
57897,1
48757,1
6708,0
10940,0
18750,1
20629,1
53611,1
22169,1
33246,1
36694,0
19713,0
49016,1
13865,1
37239,1
604,1
28664,1
17379,1
24890,0
35375,1
40573,1
44931,1
6444,1
39696,1
3257,0
45924,1
55818,1
22095,1
49248,0
36170,1
50745,1
11017,1
57167,1
38244,1
25158,1
26976,1
5645,0
50732,1
39104,1
8888,0
34755,1
10542,1
53958,0
51242,0
52336,1
43305,1
4550,0
21465,1
29055,1
57584,1
45823,1
41293,1
28657,0
13434,1
22731,1
58193,1
53353,1
5431,1
7,1
50781,1
55775,1
10552,0
33910,1
42631,1
12933,1
27740,1
37289,0
49667,1
43906,1
38732,1
29308,1
37812,1
15979,1
40119,1
26994,0
13932,0
14222,1
56276,1
39542,1
47309,1
55214,1
5774,1
37354,1
38872,0
1634,0
57387,1
2261,1
44987,1
54918,1
9316,1
9520,1
13902,1
2642,0
48484,0
31332,1
33924,0
36278,1
6192,1
27188,1
55822,1
32351,1
2940,1
7850,1
55506,1
55101,0
10318,1
18402,1
8843,0
49747,1
17329,0
17880,1
43786,1
28621,1
13375,1
42462,1
26782,0
1111,1
54628,1
4688,0
40825,1
17340,0
40213,1
15071,1
37219,1
48765,1
39663,1
28836,1
52473,1
52178,1
30104,1
34304,0
56870,1
5162,0
57746,1
35038,1
53219,1
16006,0
10036,1
1902,1
55037,1
52063,1
3495,0
23579,0
615,1
45583,1
50562,1
23739,0
52287,1
40741,1
10191,0
52707,1
17866,1
34711,1
37103,1
42341,1
47876,1
27295,0
48337,1
7964,1
16556,1
6807,0
43771,1
39120,1
34119,1
53615,1
39513,1
37334,1
20351,1
6596,1
25829,0
36467,1
57512,1
44744,0
56213,1
33438,1
29424,1
27884,1
56708,0
31185,1
10050,0
13983,1
11240,1
2730,1
35556,1
20374,1
54472,1
47663,1
54330,1
28971,1
23527,0
18474,0
57548,1
17384,1
28362,1
27635,0
17287,1
46384,1
1189,1
9191,1
29465,1
6197,1
9312,0
31082,1
50928,1
57332,1
29864,1
26723,1
43603,1
39806,1
43788,1
45926,1
52354,1
50807,1
40929,1
41957,0
6258,1
20399,1
11727,1
7581,0
50617,1
53786,1
24078,1
1840,1
47517,1
10768,1
274,1
40272,1
22675,0
55563,1
36283,1
16885,1
42728,1
25354,1
16438,1
36293,1
51124,1
45417,1
28968,1
9615,1
14346,0
27868,0
53514,1
51425,1
7090,1
44053,0
44208,0
2683,1
19296,1
38892,1
41808,1
16336,0
24031,0
15780,0
2504,1
48204,1
37157,1
3496,1
5511,0
54243,1
12361,0
38212,1
56834,1
25554,1
49085,1
25668,0
29711,1
56046,1
18858,1
28847,1
25811,1
9345,1
13612,0
41816,1
41043,1
56676,1
33761,1
9075,1
34153,1
41757,1
26474,0
35154,0
44237,1
28072,0
8788,1
11782,1
6635,0
17909,1
1919,0
39872,1
55229,1
46382,1
27681,1
40571,1
28615,1
30240,1
56658,1
51705,1
21422,1
28718,0
10638,1
46323,1
6286,1
54933,1
44050,1
6481,1
32511,1
26066,1
2846,0
45760,1
45090,1
36020,1
48151,1
33709,1
7533,1
6937,0
3908,1
21710,1
25599,1
51432,1
28541,1
54959,1
22665,0
48323,1
3386,1
26020,1
1456,1
36322,1
56842,1
5126,0
51211,1
6506,1
32998,1
40735,1
50497,1
45965,0
25919,1
1326,1
5479,1
2725,1
24024,1
18822,1
16212,1
52041,1
51938,1
13250,0
4833,0
46705,1
44507,1
18106,0
13464,1
48363,1
50154,1
30569,0
1365,0
45222,1
21887,0
26927,1
15181,1
50934,1
46148,1
28740,1
19823,0
6705,1
53558,1
4447,1
19909,1
52600,1
16445,1
560,1
5642,1
23024,1
29134,1
9356,1
24841,1
23167,1
15312,0
27575,1
18661,1
55616,1
40400,1
16401,0
11141,1
41839,1
57446,1
26244,0
6888,0
45519,0
43970,1
24250,1
1175,1
7051,0
41395,0
45500,1
30656,1
20618,1
24990,1
12219,1
36245,1
7537,1
57438,0
40196,1
50502,0
24725,1
25212,1
36048,1
26978,1
4428,0
20859,1
2116,0
30595,1
6268,1
40628,1
14999,1
49092,1
16805,0
51399,1
34456,1
23374,0
17497,0
22117,1
11459,1
36684,1
26467,0
3699,0
13315,1
24028,1
45195,1
11809,1
48064,1
30067,0
37386,1
11177,0
3795,0
30632,1
29121,1
5036,0
10882,1
31555,1
4502,1
14644,0
13207,1
50040,1
28818,0
32969,1
48095,1
32321,1
48419,1
41283,0
18708,1
8088,1
24946,1
53307,1
5238,1
39979,1
26580,1
21181,0
46306,1
10098,1
17479,0
38803,1
3505,1
8197,0
6014,1
35498,1
55983,1
19678,1
38446,1
53013,1
42959,1
41201,1
15369,0
30853,1
45755,1
46275,1
20600,0
8723,0
43909,1
57583,0
47601,1
57138,0
49422,1
14009,0
17755,1
6578,0
52458,1
53883,1
54013,1
2752,0
21844,1
34346,1
26492,1
46311,1
27477,0
1142,0
23541,1
48807,1
54557,1
41425,1
32529,1
15639,0
14135,1
14317,0
19847,0
15140,1
45122,1
55349,1
33713,1
27904,1
25529,1
8684,1
55512,1
8166,0
44395,1
5144,0
57271,1
36486,1
1971,1
52872,1
54713,1
7660,1
29695,1
45862,0
29171,1
9831,1
11620,0
11756,0
37056,1
52599,1
3310,1
23037,1
28739,1
7087,0
56613,1
17764,1
47058,1
55994,0
53970,1
15493,0
11447,0
51834,1
55368,1
3215,1
29922,1
43481,1
4167,1
35491,1
45239,1
53396,1
20192,0
27655,1
4782,1
3002,1
20845,1
40991,1
38370,1
57067,1
28315,1
5133,0
5658,0
6682,0
49964,1
46044,1
37725,1
5034,1
7645,0
44368,1
44775,1
5901,1
9460,1
49382,1
41570,1
24029,1
20893,1
45328,1
22881,1
53800,1
9013,0
45354,1
34871,0
45493,1
3089,0
4326,1
6479,1
4870,1
50247,1
28648,1
22199,1
47902,1
3771,1
8191,1
21512,0
52617,1
18141,0
11443,1
45018,1
15932,1
45757,1
8652,1
34849,1
17589,0
1535,0
46995,1
39238,0
51251,1
11370,1
56612,1
25320,1
27810,1
37808,1
43794,1
44484,1
31768,1
39341,1
20196,1
10708,1
44677,1
804,1
30670,1
11036,1
28872,1
46071,1
35255,1
28420,0
44555,0
19322,0
48119,1
37216,1
44827,1
22543,0
35964,1
36008,0
55285,1
3834,1
36079,1
54740,1
27340,0
15738,0
16061,0
41806,1
40094,1
4699,0
3648,1
17870,1
24479,0
3038,0
31320,1
3114,0
47425,1
26916,0
6130,0
38434,1
13785,1
57576,1
6987,1
45329,1
43082,0
6082,1
42382,1
34452,1
51764,1
22966,0
15130,0
17730,0
19356,0
20077,1
42008,1
11077,1
48289,1
44818,1
53394,1
29130,1
41012,1
9536,1
8751,1
29745,1
21663,1
6732,1
33122,1
52068,1
46815,1
45110,1
56424,0
47740,1
22506,1
2761,1
19245,1
19354,0
8074,0
33392,1
23416,1
38946,1
30699,1
6621,1
18095,0
2237,0
34799,1
8500,1
32959,1
25112,0
52373,1
9326,1
32474,1
55265,1
56634,1
18498,1
15396,0
40904,1
30279,1
18863,1
39371,1
42392,1
51693,0
53972,1
48719,1
26337,1
32629,1
35007,1
44629,0
34948,1
26757,1
30680,1
47631,0
56030,1
44658,1
9499,1
49280,1
55851,1
31930,1
6646,1
53341,1
41324,1
36023,1
6821,0
50642,1
36945,1
38667,1
48189,1
35766,1
1322,1
12623,0
14751,0
38861,1
55839,1
43749,1
39563,1
32896,1
21777,1
42364,1
19046,1
29936,1
9632,1
21810,0
23104,1
45460,1
40294,1
39329,1
52106,0
18254,1
688,0
29782,1
21401,0
21882,1
38613,1
1428,1
229,1
2895,1
13825,0
6487,0
21202,0
3167,1
343,1
40796,1
37004,1
42733,1
49577,1
13483,1
35946,1
20873,1
9812,1
26078,1
11229,1
40174,1
57373,1
26169,1
37276,1
16483,1
7739,0
56523,1
33531,1
29261,1
57978,1
28337,1
11089,1
40278,1
2417,0
14185,1
28650,1
49487,0
28412,0
5027,0
27780,1
3615,1
45445,0
35324,1
2840,0
22123,1
36942,1
3239,0
36353,1
5053,1
42261,0
53126,1
27449,0
56593,1
19926,1
26013,0
14355,1
16492,1
20614,0
50291,1
16774,0
24655,1
37508,1
23609,1
13919,1
10181,0
29043,1
8,0
25883,1
17735,1
50581,1
56639,1
20058,1
50974,1
55997,1
40858,0
43167,1
51183,1
30331,1
57862,1
18603,1
22277,1
313,0
32688,1
49155,1
25688,1
13972,1
53374,1
27819,1
47576,1
39947,0
29249,1
49210,0
21324,1
36927,1
4689,0
12077,0
53269,1
31787,1
42444,1
49253,1
31304,0
28990,1
4760,1
53138,1
49777,1
35939,1
35213,1
16238,1
55446,1
54014,1
14789,0
55330,0
16491,0
19621,1
50139,1
54235,1
54101,1
35018,1
11942,1
15582,1
11824,1
19499,1
48999,1
40245,1
3959,0
7049,0
1018,1
52994,1
15356,0
49497,1
50216,1
4983,0
51130,1
44350,0
50776,1
40756,1
56275,1
12747,0
49720,1
31225,0
50894,1
28930,1
14711,0
14035,1
34023,1
11581,1
32242,1
22048,1
23145,1
14025,1
5992,1
46413,1
39336,1
1309,0
24083,0
10696,0
23906,0
20470,1
25461,0
933,0
53499,1
12538,1
19054,1
47263,0
22787,1
36507,1
50600,1
40454,1
10541,1
28095,0
19196,1
29069,0
48573,0
55273,1
20443,0
47933,0
246,1
49368,1
14650,1
46126,1
29896,1
23106,1
57779,1
52819,1
16284,1
13027,0
21965,1
49913,1
49237,1
39344,1
7657,0
13978,0
48266,1
49125,1
13867,0
24496,0
25837,1
29150,1
13603,1
14667,0
18952,1
40790,1
1821,1
45695,1
22747,0
49936,1
56632,1
17189,0
9991,0
23096,1
22521,0
15811,1
11588,0
480,0
40808,1
16319,1
29000,1
27246,1
9904,0
47465,1
36881,1
46630,1
30923,1
14351,0
14913,1
58067,1
30266,1
9760,0
23112,1
43329,1
28502,1
21212,1
55623,1
4717,0
42409,1
21058,0
9086,1
26965,0
14673,1
39457,1
33226,1
39057,1
17567,0
49944,0
17521,0
20465,1
48452,1
18355,1
27766,1
18187,0
13272,0
2478,0
32981,1
33962,1
30294,1
14144,0
36900,1
30399,1
39599,1
28914,1
20413,1
43974,1
33866,1
11931,0
43286,1
25976,0
37616,1
22476,0
53866,1
30796,0
35270,1
13075,1
53777,1
5695,1
46432,1
17211,0
53963,1
31357,1
33045,1
29888,1
47982,1
11375,1
16836,0
44848,1
2591,0
35527,1
25094,0
39243,1
934,0
44455,1
20149,1
32664,1
20281,0
56475,1
50548,1
26396,1
29467,1
14534,0
9915,0
17441,1
50468,0
46707,1
10581,1
43685,1
28349,1
16072,1
46952,1
17431,1
35596,0
20308,1
30434,1
36090,1
27674,1
10641,0
30175,1
10679,0
35761,1
10115,1
42515,1
5257,1
1387,1
4900,0
47449,1
25498,0
7847,1
54780,1
47995,1
21576,0
586,1
14038,1
23918,1
49960,1
55278,1
143,0
41728,1
47775,0
55970,1
19864,1
2297,1
39407,1
20988,1
22032,0
53710,1
25141,0
10043,1
17491,1
7631,1
33982,1
45155,1
20038,0
28995,1
36809,1
29054,1
34894,1
45132,1
13200,1
55827,1
50860,1
23661,0
33145,1
6989,1
30040,1
2874,1
4040,1
2452,1
55122,0
53300,1
46219,1
28577,0
6792,1
46863,1
3415,1
51685,1
15422,1
5652,0
25782,0
40708,1
51028,1
45665,1
25207,1
30153,1
49232,1
40347,1
47162,1
3057,1
52812,1
37626,1
44778,1
30688,1
28409,1
28201,1
37262,1
4856,1
54750,1
23301,0
3425,1
42575,1
11632,1
23910,1
36999,1
56098,0
22780,0
27725,0
20317,0
41220,1
48749,1
9153,1
37465,1
23903,0
27320,0
17526,1
12359,1
32570,1
23383,0
23081,0
50306,1
1127,1
57497,1
43861,1
31329,1
18595,1
40385,1
26727,1
16024,0
53439,1
16880,0
15821,1
36376,0
20620,0
3732,1
18452,0
48791,1
39994,0
6100,1
48474,1
37921,1
54542,1
30575,1
1806,1
12666,0
57109,1
34858,1
40885,1
319,1
18634,1
37055,1
29462,1
19420,1
35035,1
8913,1
36343,1
3829,1
20630,1
42707,1
16100,1
33394,1
1757,0
36151,0
48696,1
4489,0
17201,1
41928,1
35152,1
988,0
43014,1
47289,0
1581,0
2160,0
47410,1
45406,1
21130,0
25033,1
8573,1
27943,0
2500,1
15041,1
49961,1
12022,1
4877,0
31007,0
37633,1
14316,1
44265,1
53980,0
16926,1
24228,1
4623,1
32535,1
3494,0
28035,1
27264,1
17140,1
51866,1
1829,1
8781,0
56701,1
17501,1
9581,1
13539,0
19277,0
19568,1
33359,1
19976,0
11777,1
3803,0
52331,1
50926,0
31066,1
21049,0
26040,1
8473,0
22101,1
16172,0
25357,0
10120,0
1197,1
4124,1
19996,0
21289,0
43480,1
47254,1
375,1
27008,1
42142,1
39536,1
53849,1
15112,1
46559,1
12268,1
29004,1
20889,1
50866,1
44810,1
49064,1
16730,1
51969,1
6269,1
55113,1
6774,0
46806,1
49224,1
42112,0
52620,0
43372,1
40874,0
44416,1
30550,1
55671,1
31756,0
3654,1
9725,0
24440,1
6825,1
27688,0
2892,1
384,1
56522,1
19144,1
21660,1
33010,1
52371,1
40402,1
39558,1
48464,1
9380,1
14450,0
13142,1
26382,1
57983,1
50396,1
4726,1
56713,1
117,1
57116,1
21911,1
4303,1
47571,1
55348,1
48165,1
52644,1
22243,0
20593,0
54560,1
47687,1
45058,1
3206,1
56859,0
49200,1
50258,1
6846,1
14430,0
58116,1
10739,1
38933,1
43822,1
39215,1
11928,1
49119,1
53797,0
16437,1
33371,1
16921,1
31803,1
22083,0
17575,1
48240,1
18586,1
2187,1
52848,0
1169,1
30342,1
51354,1
16812,1
20312,1
23662,0
31777,1
49113,1
665,0
5232,1
45871,1
414,0
52921,1
2553,1
10802,1
55505,1
23898,1
7937,0
2764,1
18615,0
50173,1
34428,1
55727,1
49732,1
50020,1
40115,1
39323,1
24784,0
2254,1
50230,1
33540,1
33375,0
51443,1
11689,1
14036,1
42396,0
7802,1
37430,1
29849,1
35432,1
24383,0
22023,1
21276,1
44283,1
3891,1
20346,1
28015,1
445,1
31910,1
57345,0
34355,1
5396,1
36119,1
45094,0
42621,1
53671,1
8484,1
51470,1
15371,0
38824,1
27061,1
20836,1
45028,1
25061,1
112,0
16895,1
11231,1
42701,1
48368,1
4866,1
6813,0
36169,1
49198,1
12044,1
56479,1
32283,1
40598,1
54264,1
27830,1
20641,1
37138,0
42767,1
28637,1
2588,1
24301,1
26607,0
6551,1
23484,1
24527,1
14622,1
32334,1
49018,1
4074,0
17547,1
42076,1
56923,1
43194,1
11338,1
5405,0
21677,1
52015,1
33160,0
10076,1
25798,1
34081,1
54479,1
31730,1
16997,0
47521,0
49578,1
13131,0
3419,1
192,1
11829,1
32220,1
51717,1
49024,1
29560,1
23608,1
17031,0
2341,1
33856,1
41561,1
30884,1
7647,1
55663,1
5311,1
5732,0
5785,0
12173,1
17700,1
38247,1
3714,0
4101,1
47806,1
14276,1
7018,1
6978,1
42264,1
39019,0
42533,0
49972,1
26982,1
32625,1
20222,0
10563,1
31212,0
9371,0
32046,0
58094,1
7441,0
25106,1
6337,0
13707,0
5249,1
54730,1
14238,1
19346,1
9118,1
46826,1
25077,1
15894,1
20595,0
49174,0
52845,1
30844,1
1795,1
45256,0
35529,1
30002,1
15560,1
49309,1
31914,1
40537,0
16893,0
42555,1
14411,0
54942,1
40838,1
46202,1
55998,1
49347,1
3391,0
11113,1
20090,1
12705,0
766,1
23626,1
24055,1
22631,1
47060,0
17972,0
38734,0
46767,1
6909,1
22981,0
51260,1
53191,1
7342,1
56888,1
53354,1
37196,0
27508,1
1992,1
25140,1
40478,1
25835,0
15157,1
5620,0
41520,1
8032,1
44892,1
28679,0
48413,1
11849,1
26004,0
44862,1
45503,1
40917,1
7182,1
23064,1
35822,1
30159,1
56056,1
5619,1
50293,1
39065,0
6092,1
52089,0
5881,1
35721,1
5516,1
30936,1
10735,0
33946,1
21314,1
58069,1
40807,1
35689,1
40770,1
25569,0
29622,1
55894,0
46396,1
37201,1
43369,1
4507,0
33092,1
33780,1
18742,1
4000,1
40393,1
50372,0
31454,1
35575,0
26484,1
42204,1
40530,1
5140,1
50440,1
4920,0
29838,0
39951,1
21752,1
39625,1
41153,1
27193,0
5223,1
13191,1
50552,1
41600,0
5001,0
9051,1
56729,1
44262,1
53484,1
49722,1
37741,1
57702,1
38338,1
33853,1
41208,1
39730,1
31431,1
17820,0
3103,0
2001,0
27249,0
18467,0
20121,0
55756,1
23549,1
7385,0
12437,0
25856,1
28407,1
43818,1
25865,0
11169,1
24402,0
36318,1
17780,1
24885,1
38298,1
37722,1
14495,0
4446,1
38267,0
3265,1
8169,1
17581,1
25213,0
54765,1
20968,0
24104,1
14591,1
33198,1
51097,1
13608,1
51971,1
58176,1
42882,1
16293,0
55092,1
34204,1
40128,1
46072,0
9365,0
52286,1
39266,1
19157,0
55501,0
38601,1
9464,1
3429,0
40204,1
12587,1
24332,1
19854,1
51813,0
12549,0
53914,1
7069,0
9630,0
7586,1
23315,1
38217,0
56504,0
48575,1
15215,1
33488,1
53476,1
5419,0
740,1
13521,0
39166,1
6345,0
28220,1
51575,1
18665,0
432,1
35232,1
49196,1
47256,0
44548,1
8339,1
20184,1
2301,1
4230,0
5382,1
43665,0
36639,1
54420,1
10644,1
36133,1
31089,1
13470,0
38170,0
50540,1
38890,1
51520,1
6308,1
26422,1
10958,1
9683,1
35451,1
53609,1
22221,0
53083,1
56376,1
35176,1
30500,1
15654,1
15051,1
54408,1
25533,0
21071,1
15556,1
13581,1
21470,0
19182,1
34686,1
50275,0
5159,0
9792,1
2328,0
12118,1
57789,1
34038,1
24171,1
15535,0
43624,1
58107,1
55051,1
27879,1
17350,1
989,1
49995,1
43924,1
57024,1
31071,1
21664,1
22921,0
24356,1
14782,1
55531,1
13564,1
6679,1
5155,0
23922,1
42630,1
27060,1
22951,1
46649,0
32265,1
32058,1
55812,0
6801,1
33870,0
32949,1
51117,1
6287,1
8537,0
16852,1
1669,1
26413,1
17206,1
2974,1
40256,1
85,1
42637,1
4165,1
55203,1
26704,1
52915,1
46470,1
52574,1
43890,1
9927,0
38347,1
3934,1
47130,1
28816,1
15886,1
15882,1
24057,1
13409,0
33812,1
27519,1
16867,1
25421,1
22978,1
24100,1
8618,0
11535,1
22728,0
321,1
14043,0
39399,1
23358,0
1975,1
20217,0
57627,1
10475,1
54864,1
10908,1
30816,0
26628,1
27158,1
17550,0
52763,1
14382,0
26892,1
15574,0
27767,0
8110,0
23242,1
27863,0
57876,1
21424,0
49031,1
31745,1
49186,1
35506,1
25454,1
55023,1
25114,1
35860,1
47743,0
51193,1
56851,1
56461,1
37928,0
6054,0
6074,0
9836,0
18056,1
1337,1
20568,1
41831,1
55157,1
11897,1
47648,1
31901,1
20962,1
18853,1
11026,1
48333,1
30957,1
39502,1
55254,1
47194,1
39792,1
46145,1
13138,0
57248,1
39505,1
51804,1
17473,1
24396,1
13779,0
17580,0
11981,1
35672,1
39028,0
2366,1
42940,1
38746,0
54087,1
4445,1
30541,1
40285,1
36504,1
1379,1
23239,1
9985,1
2812,1
3074,0
14377,1
29164,1
43753,1
31139,1
42208,1
545,0
57761,1
5287,1
9946,1
49511,1
19842,1
2422,0
48967,1
22776,0
12621,0
49791,1
45146,1
52091,0
23170,0
25173,0
39437,1
51635,1
32074,1
5276,1
17395,1
49903,1
55825,1
2593,1
46347,1
40274,1
12841,1
32217,1
1453,1
17394,1
9024,1
57827,0
306,1
10697,1
51481,1
13531,1
42656,1
4449,0
17439,1
2841,1
13546,0
24681,0
5142,1
37547,1
50879,1
13153,0
17827,0
54880,0
28713,1
51008,1
46325,1
53806,1
24570,0
50355,1
50200,1
13822,1
42799,0
22905,0
41862,1
15214,1
3652,0
47237,1
12390,1
26088,1
24665,1
11373,1
34287,1
51209,1
16598,1
26800,1
17939,1
5701,0
36911,1
27936,0
19974,1
8434,1
15372,0
9112,0
57993,1
4028,0
38763,1
41940,1
10300,0
44766,1
27533,1
